epoch,object,ra,dec,dec_err,ra_err
53308.41399999998,1,0.0,0.0,3.3,3.3
53299.63000000003,1,-0.30000005040164973,0.09999999868171015,4.8,4.8
52862.284999999974,1,-27.300000033392276,-4.100000000306635,2.4,2.4
52798.994000000006,1,-38.55000005614783,-0.5000000030008777,12.0,12.0
52377.19999999999,1,-71.25000002474734,-23.200000001111217,4.9,4.9
52323.18000000002,1,-75.30000001452207,-25.30000000220411,3.1,3.1
51906.70599999999,1,-106.20000003882522,-42.200000000036646,1.3,1.3
51889.13799999999,1,-92.55000002212908,-29.500000001192458,26.0,26.0
50901.965002789344,1,-162.00000005142098,-60.1000000006735,5.7,5.7
50438.386,1,-197.40000006436273,-63.20000000137326,5.9,5.9
47035.07500758101,1,-427.3500000465446,-174.80000000098525,15.0,15.0
45125.52650493168,1,-540.6000000675702,-195.20000000063928,30.0,30.0
45122.606504839154,1,-549.4499999940671,-232.2000000020807,30.0,30.0
56120.97999456018,1,216.7499999643496,64.79999999946527,17.5,17.5
57087.970002060225,1,248.2499999871379,88.59999999906164,22.2,22.2
57177.03000488427,1,252.89999997539778,123.79999999865275,22.5,22.5
57334.7099983102,1,287.2499999398314,103.09999999975615,2.0,2.0
57616.01800721067,1,349.94999998616544,86.6999999985296,14.1,14.1
